Restaurant,Longitude,Address,PlaceID,URL,AverageExposure,Stars,ZIP,Count,White,ofWhite,DWN,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot,Reviews,Amenities,Amenity_Count
61.2186852,Crush Wine Bistro & Cellar,-149.8959538,"328 G St, Anchorage, AK 99501, United States",ChIJLyGVmSmWyFYR6nWkIPTUEco,/biz/crush-wine-bistro-and-cellar-anchorage-2?osq=Restaurants,0.161199554657313,3.7,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1,177,"Takes Reservations
Offers Delivery
Offers Takeout
Many Vegetarian Options",4
61.3302266,Da J3rk Spot,-149.5694881,"12110 Business Blvd, Eagle River, AK 99577, United States",ChIJgwdL1-PryFYRo1xS3yxQDls,/biz/da-j3rk-spot-eagle-river?osq=Restaurants,0.168059573623022,4.5,99518,21,6234,58.1,1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3.0,0,84045,0,1,0,63,"Offers Delivery
Offers Takeout
Many Vegetarian Options
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Accepts Cryptocurrency
Offers Catering
Waiter Service
Black-owned
Women-owned
Open to All
No Alcohol
No TV",12
61.2170999,Dami,-149.8715223,"642 E 5th Ave, Anchorage, AK 99501, United States",ChIJQf0lhy-WyFYRyA88wsFFV9w,/biz/dami-anchorage?osq=Restaurants,0.13374935669088,3.7,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0,171,"Takes Reservations
Offers Delivery
Offers Takeout
Many Vegetarian Options",4
61.1432124,Dave & Buster's,-149.8691315,"800 E Dimond Blvd #240, Anchorage, AK 99515, United States",ChIJh_2MCNGZyFYRjpAlb_YhnGw,/biz/dave-and-busters-anchorage-3?osq=Restaurants,0.0382945183702817,2.4,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,161,"Takes Reservations
Offers Delivery
Offers Takeout
Vegan Options
Many Vegetarian Options
Accepts Credit Cards
Casual
Good for Groups
Good For Kids
Free Wi-Fi
Full Bar
TV
No Outdoor Seating
Not Good For Dancing",13
61.0980399,Davons' Place House of Soul,-149.8505007,"13500 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJY7goQ5GZyFYRLSPCUWDSodc,/biz/davons-place-house-of-soul-anchorage?osq=Restaurants,0.008507733552156,3.7,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,3,"Offers Delivery
Offers Takeout
Wheelchair accessible
Accepts Credit Cards
Outdoor Seating
Waiter Service
Free Wi-Fi
Covered Outdoor Seating
No Alcohol
Bike Parking",9
61.1801952,Dragon Seafood Restaurant & Grill,-149.8938188,"560 W Tudor Rd, Anchorage, AK 99503, United States",ChIJDSjIF-uXyFYRM50iMLUhJFM,/biz/dragon-seafood-restaurant-and-grill-anchorage?osq=Restaurants,0.008441125314042,4.0,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,31,"Takes Reservations
Offers Delivery
Offers Takeout
Accepts Credit Cards
Outdoor Seating
Classy
Moderate Noise
Good for Groups
Good For Kids
Good for Dinner
Private Lot Parking
TV
No Alcohol
Bike Parking",13
61.3302008,Eagle River Fried Rice Express,-149.5706949,"12110 Business Blvd #2, Eagle River, AK 99577, United States",ChIJUyKUcUnryFYRxNunV7ra_dE,/biz/eagle-river-fried-rice-express-anchorage?osq=Restaurants,0.0042189463692342,3.9,99517,15,10461,66.2,1,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,0,29,"Many Vegetarian Options
Classy
TV",3
61.1885857,Eastern European Store & Deli,-149.8945725,"601 W 36th Ave #12, Anchorage, AK 99503, United States",ChIJoUMhz8OXyFYRVZDrBJ4uTPw,/biz/eastern-european-store-and-deli-anchorage?osq=Restaurants,0.104876038722886,4.6,99518,21,6234,58.1,1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3.0,0,84045,0,1,0,44,"Offers Takeout
No Reservations
No Delivery
Accepts Credit Cards
Good for Groups
Private Lot Parking
TV
No Bike Parking",5
61.1390792,Eat'alia,-149.9157289,"1921 W Dimond Blvd #112, Anchorage, AK 99515, United States",ChIJC-MSizyZyFYREMQm3vygnJQ,/biz/eatalia-anchorage?osq=Restaurants,0.163278378228246,4.0,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0,4,"Offers Delivery
Offers Takeout
Wheelchair accessible
Accepts Credit Cards
Drive-Thru
Veteran-owned
No Outdoor Seating
Offers Catering
No Waiter Service
No Alcohol
Bike Parking",8
61.1812022,El Dorado,-149.8688415,"4300 Old Seward Hwy Suite GD 01, Anchorage, AK 99503, United States",ChIJvcHo_oeWyFYRn1-E0yr3MeI,/biz/el-dorado-anchorage?osq=Restaurants,0.198085722535992,4.3,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,215,"Takes Reservations
Offers Delivery
Offers Takeout
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Outdoor Seating
Casual
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Waiter Service
Free Wi-Fi
Beer & Wine Only
TV
Dogs Not Allowed
Bike Parking",19
61.2184649,El Green-Go's,-149.9043208,"390 L St, Anchorage, AK 99501, United States",ChIJmRvjd5a9yFYRKp9oEFWUds8,/biz/el-green-gos-anchorage-3?osq=Restaurants,0.133167160682849,4.7,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,118,"Offers Delivery
Offers Takeout
No Reservations
Vegan Options
Many Vegetarian Options
Accepts Credit Cards
Outdoor Seating
Good for Groups
Good For Kids
Street Parking, Private Lot Parking
TV
Compostable containers available",11
61.173957,El Jefe Taco Joint,-149.8826951,"101 E International Airport Rd STE 101, Anchorage, AK 99518, United States",ChIJtQd0J_mXyFYR8RjnIxqj2Xg,/biz/el-jefe-taco-joint-anchorage?osq=Restaurants,0.2072004109076,4.4,99518,21,6234,58.1,1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3.0,0,84045,0,1,0,73,"Offers Delivery
Offers Takeout
No Reservations
Limited Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Apple Pay
Accepts Android Pay
Accepts Cryptocurrency
Outdoor Seating
Hipster, Casual, Trendy
Moderate Noise
Offers Catering
Good for Dinner
Street Parking, Private Lot Parking
Waiter Service
Free Wi-Fi
Happy Hour Specials
Beer & Wine Only
TV
Black-owned
Women-owned
Offers Military Discount
Heated Outdoor Seating
Covered Outdoor Seating
Open to All
Not Good For Groups
Dogs Not Allowed
No Private Dining
Bike Parking",27
61.3318263,EL Pastor,-149.5684545,"12300 Old Glenn Hwy, Eagle River, AK 99577, United States",ChIJe1SlBe7ryFYRwyPA7yFyNRk,/biz/el-pastor-eagle-river?osq=Restaurants,0.145687600046913,4.4,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0,84,"Offers Takeout
Vegan Options
Limited Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Casual
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Waiter Service
TV
No Outdoor Seating
No Happy Hour
No Alcohol
No Drive-Thru
Dogs Not Allowed
No Heated Outdoor Seating
No Covered Outdoor Seating
Bring your own container allowed",15
64.825399,El Senor Moose,-147.6362249,"3703 Neely Rd, Fort Wainwright, AK 99703, United States",ChIJlVsbE45PMlERih-F5qxtzTc,/biz/el-senor-moose-eagle-river?osq=Restaurants,0.132726201245215,4.3,99504,10,21807,52.2,1,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0,9,"Good For Kids
Private Lot Parking",2
61.1738962,Eldric's Pinoy Cooking,-149.8914096,"401 W International Airport Rd B, Anchorage, AK 99518, United States",ChIJxxV_U5KXyFYRiBL1pjidJf8,/biz/eldrics-pinoy-cooking-anchorage?osq=Restaurants,0.125177312845225,3.3,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,16,Offers Takeout,1
61.1861647,Espresso Expressions,-149.8853598,"212 38th Pl, Anchorage, AK 99503, United States",ChIJEbeVjMCXyFYR3NaQk7i_Fyg,/biz/espresso-expressions-anchorage-3?osq=Restaurants,0.0296778754094251,3.4,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0,34,"Offers Takeout
No Reservations
No Delivery
Accepts Credit Cards
Outdoor Seating
Classy
Moderate Noise
Offers Catering
Good For Kids
Good for Breakfast
Good for Working
Street Parking
Free Wi-Fi
TV
Not Good For Groups
No Alcohol
Bike Parking",14
61.1872406,Everest Restaurant,-149.8678061,"3637 Old Seward Hwy, Anchorage, AK 99503, United States",ChIJb_CoT4uXyFYRo_sQIvnB2yk,/biz/everest-restaurant-anchorage?osq=Restaurants,1.0,4.8,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,50,"Takes Reservations
Offers Delivery
Offers Takeout
Vegan Options
Many Vegetarian Options
Accepts Credit Cards
Casual
Moderate Noise
Good for Groups
Good for Lunch, Dinner
Private Lot Parking
Waiter Service
Drive-Thru
Asian-owned
No Outdoor Seating
No Happy Hour
Dogs Not Allowed
Compostable containers available
Plastic-free packaging
Provides reusable tableware",17
61.2189375,F Street Station,-149.8931451,"325 F St, Anchorage, AK 99501, United States",ChIJtc6fbYe9yFYRc5L6LTYU5gY,/biz/f-street-station-anchorage?osq=Restaurants,0.266537347480758,3.9,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1,660,"No Reservations
Limited Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay",3
61.1385403,Familia,-149.8816419,"148 W 91st Ave, Anchorage, AK 99515, United States",ChIJhxSsky6ZyFYRJ_tYPEuc250,/biz/familia-anchorage-2?osq=Restaurants,0.174170766721546,4.4,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0,12,Offers Takeout,1
61.1776141,Fancy Moose Lounge,-149.9425904,"4800 Spenard Rd, Anchorage, AK 99517, United States",ChIJrwPQxP2XyFYR72K-8-TLaqM,/biz/fancy-moose-lounge-anchorage?osq=Restaurants,0.135032815739227,3.0,99518,21,6234,58.1,1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3.0,0,84045,0,1,0,76,"Takes Reservations
Offers Takeout
Accepts Credit Cards
Outdoor Seating
Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Free Wi-Fi
Happy Hour Specials
Full Bar
TV
Offers Catering
Bike Parking",16
61.1857628,Fiori D'Italia,-149.9301128,"2502 McRae Rd, Anchorage, AK 99517, United States",ChIJNTLkL-KXyFYRqFWxmaRgy40,/biz/fiori-d-italia-anchorage-3?osq=Restaurants,0.177986491817649,3.8,99517,15,10461,66.2,1,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,0,178,"Takes Reservations
Offers Takeout
No Delivery
Many Vegetarian Options
Accepts Credit Cards
Accepts Cryptocurrency
Casual
Moderate Noise
Casual Dress
Offers Catering
Good for Groups
Good For Kids
Good for Dinner
Private Lot Parking
Waiter Service
Free Wi-Fi
Best nights on Friday, Saturday
Full Bar
TV
Dogs Not Allowed
Bike Parking",19
61.2153023,Fire Island Rustic Bakeshop,-149.9021527,"718 K St, Anchorage, AK 99501, United States",ChIJfwCs6dSXyFYRS-bVg_88uxw,/biz/fire-island-rustic-bakeshop-anchorage?osq=Restaurants,0.212125914519652,4.4,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0,319,"Offers Takeout
No Reservations
No Delivery
Gluten-Free Options",2
61.12707,Firehouse Subs,-149.8852,"345 W 104th Ave #100, Anchorage, AK 99515, United States",ChIJQ4ReeCCZyFYRfqvIYCQ3LWc,/biz/firehouse-subs-anchorage-2?osq=Restaurants,0.0084775626368808,3.7,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0,49,"Offers Delivery
Offers Takeout
Wheelchair accessible
Accepts Credit Cards
Outdoor Seating
Offers Catering
Private Lot Parking
Free Wi-Fi
Drive-Thru
Covered Outdoor Seating
No Alcohol
No TV
No Heated Outdoor Seating
No Private Dining",10
61.217825,Fletcher's,-149.8998115,"939 W 5th Ave, Anchorage, AK 99501, United States",ChIJoUUNNIG9yFYRIwlxJhOXHo8,/biz/fletchers-anchorage?osq=Restaurants,0.158154362467094,3.9,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1,133,"Offers Takeout
No Reservations
No Delivery
Limited Vegetarian Options",2
61.1732292,Flight Deck Pizzeria,-149.8992155,"832 W International Airport Rd, Anchorage, AK 99518, United States",ChIJ3QxurJKXyFYRRaYTcHCsGuc,/biz/flight-deck-pizzeria-anchorage-5?osq=Restaurants,0.0653505691077897,4.0,99508,9,15722,41.3,0,0,3106,8.2,1,5326,14.0,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,1,36,"Offers Delivery
Offers Takeout
No Reservations
Many Vegetarian Options
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Accepts Cryptocurrency
Divey, Classy
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Private Lot Parking
Waiter Service
Free Wi-Fi
Full Bar
No Outdoor Seating
No TV
Bike Parking",17
61.1777657,Flying Machine Restaurant,-149.9420715,"4800 Spenard Rd, Anchorage, AK 99517, United States",ChIJV7pa0f2XyFYRuvAWSxdQaBc,/biz/flying-machine-restaurant-anchorage?osq=Restaurants,0.128674855585524,2.8,99518,21,6234,58.1,1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3.0,0,84045,0,1,0,58,"Takes Reservations
Offers Takeout
Many Vegetarian Options
Accepts Credit Cards
Outdoor Seating
Touristy
Quiet
Casual Dress
Offers Catering
Good for Groups
Good For Kids
Good for Breakfast, Dinner
Waiter Service
Free Wi-Fi
Full Bar
No TV
Bike Parking",16
61.1954967,Fresh Bowl Kitchen,-149.8728649,"545 E Northern Lights Blvd # A, Anchorage, AK 99503, United States",ChIJ11eEZHmXyFYRBIjLIs85uy4,/biz/fresh-bowl-kitchen-anchorage?osq=Restaurants,0.139985062339731,4.4,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1,0,"Offers Delivery
Offers Takeout
Wheelchair accessible
Accessible parking near entrance
ADA-compliant main entrance
No steps or stairs
ADA-compliant restroom
QR code menus available
Closed captioning on TVs
Accepts Credit Cards
Outdoor Seating
Offers Catering
Waiter Service
TV
No Covered Outdoor Seating
Bike Parking
Bring your own container allowed
Compostable containers available
EV charging station available
Plastic-free packaging
Show Less",19
61.1450376,Fresh Cup Playhouse,-149.8595021,"1201 E Dimond Blvd, Anchorage, AK 99515, United States",ChIJ-5oBFuSZyFYRvOjX1YRHHiI,/biz/fresh-cup-playhouse-anchorage?osq=Restaurants,0.089416664692806,4.8,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,6,"Takes Reservations
Offers Delivery
Offers Takeout
Wheelchair accessible
Accepts Credit Cards
Accepts Cryptocurrency
Private Lot Parking
Free Wi-Fi
Drive-Thru
Women-owned
Private Dining
No Outdoor Seating
Offers Catering
No Waiter Service
No Alcohol
Dogs Not Allowed
No TV
No Heated Outdoor Seating
No Covered Outdoor Seating
Bring your own container allowed
No Bike Parking",13
61.1887179,Fromagio's Artisan Cheese,-149.8976303,"3555 Arctic Blvd c4, Anchorage, AK 99503, United States",ChIJL5xVnJWZyFYRZm-bBqh6MJs,/biz/fromagios-artisan-cheese-anchorage?osq=Restaurants,0.0213668624134401,4.1,99504,10,21807,52.2,1,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0,58,"Offers Takeout
No Reservations
No Delivery
Accepts Credit Cards
Accepts Apple Pay
Classy
Quiet
Offers Catering
Good for Groups
Good For Kids
Private Lot Parking
TV
No Outdoor Seating
Dogs Not Allowed
Bike Parking",11
61.1797684,Fukumaru Teriyaki,-149.9374491,"4505 Spenard Rd, Anchorage, AK 99517, United States",ChIJfbrNHP2XyFYRNMl13CgWt5I,/biz/fukumaru-teriyaki-anchorage?osq=Restaurants,0.162367188687442,4.1,99518,21,6234,58.1,1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3.0,0,84045,0,1,0,79,"Offers Delivery
Offers Takeout
No Reservations
Limited Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Casual
Quiet
Good for Groups
Good For Kids
Good for Lunch
Private Lot Parking
TV
No Outdoor Seating
Offers Catering
No Waiter Service
No Wi-Fi
No Alcohol
Bike Parking",14
61.1804684,Ghost Kitchen,-149.8277557,"2844 E Tudor Rd, Anchorage, AK 99507, United States",ChIJN6-icfGXyFYRjQytBrr16bU,/biz/ghost-kitchen-anchorage?osq=Restaurants,0.107297407484152,3.3,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,1,"Offers Delivery
Offers Takeout
Accepts Credit Cards
Casual Dress
Offers Catering
TV
Veteran-owned
No Outdoor Seating
No Waiter Service
No Wi-Fi
No Happy Hour
No Alcohol
No Drive-Thru
No Heated Outdoor Seating
No Covered Outdoor Seating
No Private Dining
No Bike Parking",7
61.1738978,Gia Dinh Pho and Vietnamese Cuisine,-149.8936778,"Suite #A1, 549 W International Airport Rd, Anchorage, AK 99518, United States",ChIJZfX1fW-XyFYRCe1KJPV6W_I,/biz/gia-dinh-pho-and-vietnamese-cuisine-anchorage?osq=Restaurants,0.201757440111131,4.7,99518,21,6234,58.1,1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3.0,0,84045,0,1,1,141,"Takes Reservations
Offers Takeout
No Delivery
Vegan Options
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Apple Pay
Accepts Cryptocurrency
Casual
Quiet
Offers Catering
Good For Kids
Good for Lunch, Dinner
Street Parking, Private Lot Parking
Waiter Service
Free Wi-Fi
Offers Military Discount
Open to All
No Happy Hour
No Alcohol
Dogs Not Allowed
No TV
Bike Parking",19
61.2176984,Ginger,-149.8904992,"425 W 5th Ave, Anchorage, AK 99501, United States",ChIJyxXi3CmWyFYR0QSX5WfoVhs,/biz/ginger-anchorage?osq=Restaurants,0.180058386849073,4.0,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1,474,"Takes Reservations
Offers Takeout
Vegan Options
Many Vegetarian Options",4
61.2178459,Glacier BrewHouse,-149.8964654,"737 W 5th Ave #110, Anchorage, AK 99501, United States",ChIJ7bXHMYe9yFYRdVPg648EZGY,/biz/glacier-brewhouse-anchorage?osq=Restaurants,0.62220110333336,4.0,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1,2480,"Takes Reservations
Offers Takeout
Walk-ins Welcome
Vegan Options
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Classy, Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Lunch, Dinner
Garage Parking, Street Parking, Private Lot Parking
Waiter Service
Free Wi-Fi
Full Bar
TV
Offers Catering
Not Good For Working
No Drive-Thru
Dogs Not Allowed
Bike Parking
Compostable containers available
Plastic-free packaging
Provides reusable tableware",25
61.1787446,Golden Corral Buffet & Grill,-149.8852215,"4520 Union Square Dr, Anchorage, AK 99503, United States",ChIJM7BNVZSXyFYRxf9B9mfGoTw,/biz/golden-corral-buffet-and-grill-anchorage?osq=Restaurants,0.0600571051920267,2.9,99577,13,22970,84.0,1,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39.0,1,3.5,1,111388,1,1,0,103,"Offers Delivery
Offers Takeout
No Reservations
Vegan Options
Accepts Credit Cards
Accepts Apple Pay
Casual
Loud
Good for Groups
Good For Kids
Good for Breakfast, Brunch, Lunch, Dinner
Private Lot Parking
Waiter Service
Drive-Thru
TV
No Outdoor Seating
Offers Catering
No Wi-Fi
No Alcohol
Bike Parking",16
61.181058,Golden Donuts,-149.8391475,"2213 E Tudor Rd, Anchorage, AK 99508, United States",ChIJGSrE4qaXyFYRpAJ3koWm05M,/biz/golden-donuts-anchorage?osq=Restaurants,0.100860375101456,3.3,99577,13,22970,84.0,1,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39.0,1,3.5,1,111388,1,1,0,113,"Offers Takeout
No Reservations
No Delivery
Accepts Credit Cards
Accepts Apple Pay
Classy
Quiet
Good for Groups
Good For Kids
Good for Breakfast
Good for Working
Private Lot Parking
Free Wi-Fi
TV
No Outdoor Seating
No Alcohol
Dogs Not Allowed
Bike Parking",13
61.1816662,Golden Gate Restaurant,-149.8146538,"3471 E Tudor Rd, Anchorage, AK 99507, United States",ChIJK4CRBgWXyFYR4P0cuzSvZvs,/biz/golden-gate-restaurant-anchorage?osq=Restaurants,0.125160204174997,3.7,99517,15,10461,66.2,1,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,0,42,"Takes Reservations
Offers Delivery
Offers Takeout
Wheelchair accessible
Closed captioning on TVs
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Accepts Cryptocurrency
Offers Catering
Good For Kids
Waiter Service
Beer & Wine Only
No Outdoor Seating
Not Good For Groups
No Wi-Fi
No Happy Hour
No Drive-Thru
Dogs Not Allowed
No TV
No Heated Outdoor Seating
No Covered Outdoor Seating
No Private Dining
No Bike Parking",14
61.195471,Great Alaska Pizza Company,-149.8950073,"607 W Northern Lights Blvd #2, Anchorage, AK 99503, United States",ChIJe79VMcWXyFYRd7YFPLTbap8,/biz/great-alaska-pizza-company-anchorage-4?osq=Restaurants,0.0750261506372773,3.9,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,29,"Offers Delivery
Offers Takeout
No Reservations
Accepts Credit Cards
Accepts Apple Pay
Good for Groups
Good For Kids
Private Lot Parking
TV
No Outdoor Seating
No Bike Parking",8
61.1928367,Great Harvest Bread - Anchorage,-149.8729194,"570 E Benson Blvd, Anchorage, AK 99503, United States",ChIJ1zH0_beXyFYRJFYa8Do62f8,/biz/great-harvest-bread-anchorage-anchorage?osq=Restaurants,0.149712149035237,4.5,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1,252,"Offers Takeout
No Reservations
Vegan Options
Wheelchair accessible
ADA-compliant main entrance
No steps or stairs
Accessible parking near entrance
ASL proficient
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Accepts Cryptocurrency
Outdoor Seating
Casual
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Breakfast, Lunch
Private Lot Parking
Gender-neutral restrooms
Open to All
No Waiter Service
No Wi-Fi
No Alcohol
Dogs Not Allowed
No TV
No Heated Outdoor Seating
No Covered Outdoor Seating
Bike Parking
Compostable containers available",22
61.1609661,Great Room,-149.8808287,"6591 A St, Anchorage, AK 99518, United States",ChIJB9wRiYaXyFYRDwxtL17AUyc,/biz/great-room-anchorage?osq=Restaurants,0.143680193040596,4.5,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0,2,"Street Parking, Private Lot Parking
TV
",2
61.17463,Guido's Pizza,-149.893939,"549 W International Airport Rd, Anchorage, AK 99503, United States",ChIJn4HXVpeXyFYR5EWDiT9sMvk,/biz/guidos-pizza-anchorage?osq=Restaurants,0.134031752182865,3.3,99540,4,282,93.7,1,1,10,3.3,0,9,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,80938,0,1,1,79,"Takes Reservations
Offers Delivery
Offers Takeout
Many Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Casual
Moderate Noise
Casual Dress
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Free Wi-Fi
Beer & Wine Only
TV
No Outdoor Seating
Offers Catering
Bike Parking",18
61.2164725,Gumbo House,-149.8920661,"508 W 6th Ave, Anchorage, AK 99501, United States",ChIJcdfSYCqWyFYRr_9dreQnnWY,/biz/gumbo-house-anchorage?osq=Restaurants,0.155283957494701,3.4,99517,15,10461,66.2,1,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,1,237,"Takes Reservations
Offers Delivery
Offers Takeout
Many Vegetarian Options
Wheelchair accessible
No steps or stairs
QR code menus available
Accepts Cash
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Casual
Quiet
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Street Parking
Waiter Service
Full Bar
TV
Latinx-owned
Private Dining
Gender-neutral restrooms
No Outdoor Seating
No Wi-Fi
No Covered Outdoor Seating
Bike Parking",24
61.1818728,Gwennies Old Alaska Restaurant,-149.9327161,"4333 Spenard Rd, Anchorage, AK 99517, United States",ChIJpXZvL-OXyFYR737JPrpzBNs,/biz/gwennies-old-alaska-restaurant-anchorage-2?osq=Restaurants,0.158246829522928,3.4,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,451,"Offers Takeout
No Reservations
No Delivery
Limited Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Breakfast
Private Lot Parking
Waiter Service
Full Bar
TV
No Outdoor Seating
Offers Catering
No Wi-Fi
Bike Parking",15
